ReportID,IncidentID,LocID,SubmitterID,PestID,ReportDate,ReportText,XCoord,YCoord,PestName,PestType,Severity,PestDescription,PestImage
a646e5ca-ffcc-42e8-8e8c-6a4a97e2d4d1,,,,93c78fae-ff57-45e0-b17a-4137cadbc112,,,,,Cottonmouth (Agkistrodon piscivorus),Snake,Venomous,"A species of pit viper native to the southeastern United Stated. They are typically found in moist areas near water, such as swamps and lakes. Bites from the cottonmouth can potentially be fatal and require emergency care.",https://upload.wikimedia.org/wikipedia/commons/f/fe/Agkistrodon_piscivorus_piscivorus_CDC.png
9beac8e8-8c0d-4fcf-81ab-fb4e3ad04203,,,,997af31d-1b6e-4cce-9ca9-946a5b382e0e,,,,,Cougar (Puma concolor),Feline,High,"A large species of cat that can be found in the western United States and parts of Florida. Often avoids people, but fatal attacks have occured.",https://upload.wikimedia.org/wikipedia/commons/1/11/Torres_del_Paine_puma_JF2.jpg
cb38ab24-0ef5-4f38-8296-15532a6ce18e,,,,9fad159a-2e17-4c5f-a8eb-f76a245165bf,,,,,Carpenter Ant (Camponotus),Ant,High (House damage),Ants that build nests in trees and wooden structues by chewing tunnels through them.,https://upload.wikimedia.org/wikipedia/commons/f/fb/Carpenter_ant_Tanzania_crop.jpg
d17cd3cc-5c20-4e6f-8f68-0ee37b0d8f44,,,,a2191b3e-8915-414d-8aaa-d91cb9f62c42,,,,,Coyote (Canis latrans),Canine,Medium,"A species of small canine found throughout North America. Attacks on humans are rare and generally minor; however, coyotes pose a serious risk to livestock and pets.",https://upload.wikimedia.org/wikipedia/commons/9/9c/2009-Coyote-Yosemite.jpg
8149f9a1-f21a-4b25-a863-7e528aa253eb,,,,a2f44c4d-21bb-4035-b6ba-539357dab4a3,,,,,Paper Wasp (Polistinae/Stenogastrinae/Vespinae),Wasp,Medium,"Eusocial wasps that build nests out of paper. Typically, they are more docile than yellowjackets but will respond agressively if their nest is threatened.",https://upload.wikimedia.org/wikipedia/commons/4/46/Polistes_sp_wasp.jpg
b45df66e-92ae-4ae5-8212-9b091b78a735,,,,a603d7ad-f222-4efe-ab6f-f21e0f1fa9c4,,,,,Africanized honey bee (Apis mellifera scutellata),Bee,High,A hybrid derived from the European honey bee (Apis mellifera) that can be found in the southern United States. These bees are highly aggresive and getting stung too many times can be fatal.,https://upload.wikimedia.org/wikipedia/commons/d/d0/Apis_mellifera_scutellata.jpg
8277cb46-e9bf-468f-8289-428e10a5a7ae,a536984b-9fbb-4171-82a1-5db11fcfb6d3,41bce8dd-f51c-4bda-b559-4d3d16ddfb5d,224e4fa8-ac03-4bfe-8616-e7226f0c11f7,a875fb40-3909-4610-a159-6e5bca823476,9/26/22,,36.88259705,-76.31659126,Collared peccary (Dicotyles tajacu),Pig,High,"A species of wild pigs often found in the southwest United States. Whether alone or in packs, they can be a nuisance in the garden or fatally atack people and pets.",https://upload.wikimedia.org/wikipedia/commons/a/a0/Collared_peccary02_-_melbourne_zoo.jpg
0f119a0c-b38c-4957-9b3b-f4cff59651f8,,,,adbb3f0c-9732-4541-8160-356148be423a,,,,,Tobacco hornworm (Manduca sexta),Caterpillar,Low,A species of hawk moth found throughout North America. The caterpillars of this moth can often be found on tobacco and tomato plants which they eat.,https://upload.wikimedia.org/wikipedia/en/6/60/Manduca_sexta_missouri.jpg
8d2cbe5d-326f-4014-b4cd-344fd06d75c4,ab58951a-457d-4306-9b4b-546fe5eb0a8c,5c1978c3-121e-4d6c-a13e-851377e0739b,12d09e49-2368-44d8-b21c-1b8e10c7cb2e,b0b6c409-f67d-4646-be93-0bd4d1111ff4,10/27/22,,36.88512771,-76.29912434,Lone Star Tick (Amblyomma americanum),Tick,Low,"A type of tick indigenous to much of the eastern United States and Mexico, that bites painlessly and commonly goes unnoticed, remaining attached to its host for as long as seven days until it is fully engorged with blood.",https://en.wikipedia.org/wiki/Amblyomma_americanum#/media/File:Amblyomma_americanum_tick.jpg
726caf24-b4fc-4d7a-9895-79be829bcf26,1b69cc93-c2a6-400a-8308-4156f29ab77b,5c1978c3-121e-4d6c-a13e-851377e0739b,9d8d194b-2279-44de-b13e-f9f8d842b0b9,bd898a91-7b36-4442-8e41-479c5f951a20,11/3/22,,36.88217733,-76.30282702,Eastern Copperhead,Snake,High,"a species of venomous snake, a pit viper, endemic to eastern North America; it is a member of the subfamily Crotalinae in the family Viperidae.",https://en.wikipedia.org/wiki/Eastern_copperhead#/media/File:Agkistrodon_contortrix_contortrix_CDC-a.png
b48434ce-8b16-461d-a683-6418f41983c1,,,,dd714234-945d-4864-a86f-0e066154f6c0,,,,,Eastern carpenter bee (Xylocopa virginica),Bee,Medium,A species of social or solitary bees that build their nest in wood and often cause structure damage.,https://upload.wikimedia.org/wikipedia/commons/c/c3/Carpenter_bee.jpg
adec84ba-d3f8-46a8-94d7-40c8b8b775e8,,,,e333d325-c01b-4272-8b44-f39b9988f3a4,,,,,Eastern Velvet Ant (Dasymutilla occidentalis),Wasp,Low,Species of solitary wasps native to the eastern Untied States that parasitize beneficial wasps and bees. Female velet ants have no wings and can inflict multiple extremely painful stings.,https://upload.wikimedia.org/wikipedia/commons/d/d9/Dasymutilla_occidentalis_%28female%29.jpg
ec661d50-311f-410a-b5f9-5d7fff305d67,,,,e53cf71f-7196-4eee-a095-67132bf5a10b,,,,,Eastern Poison ivy (Toxicodendron radicans),Plant,Poisonous (Skin irritation),"A flowering plant native to North America. Leaves of poison ivy contain a sap that causes skin irritation and rashes; as such, they should be avoided.",https://upload.wikimedia.org/wikipedia/commons/4/4b/Toxicodendron_radicans_Foliage.JPG
dcdbc601-701b-472f-b0f7-818dbd414684,,,,e7983b7e-2215-4abb-a86a-699926f5c640,,,,,Yellowjacket (Vespula),Wasp,High,Species of bright yellow and black (or black and white) social wasps that predate on pest insects. They are highly agressive and often build their nests underground.,https://upload.wikimedia.org/wikipedia/commons/9/93/European_wasp_white_bg.jpg
464e7c01-2247-45b0-8713-c56f8fd16a9e,,,,f33106e7-ac34-4a9d-8b38-4c8d75cba3dc,,,,,Organ pipe mud dauber (Trypoxylon politum),Wasp,Low,A species of solitary mud dauber wasps that prey on spiders. Often found building organ pipe shaped nests out of mud on trees or structures.,https://upload.wikimedia.org/wikipedia/commons/d/d5/Pipe_Organ_Mud_Dauber_with_Spider_-_Trypoxylon_politum%2C_Leesylvania_State_Park%2C_Woodbridge%2C_Virginia.jpg
